state,year,domestic,nondomestic,total_consumption,nondomestic_share_pct
Johor,2003,560,246,806,30.52109181141439
Johor,2004,610,225,835,26.94610778443114
Johor,2005,621,235,856,27.453271028037385
Johor,2006,644,255,899,28.364849833147943
Johor,2007,664,289,953,30.325288562434416
Johor,2008,682,300,982,30.549898167006113
Johor,2009,713,285,998,28.557114228456914
Johor,2010,730,306,1036,29.53667953667954
Johor,2011,738,323,1061,30.442978322337417
Johor,2012,769,341,1110,30.720720720720724
Johor,2013,797,366,1163,31.470335339638865
Johor,2014,823,391,1214,32.20757825370676
Johor,2015,811,448,1259,35.58379666401906
Johor,2016,773,513,1286,39.89113530326594
Johor,2017,785,535,1320,40.53030303030303
Johor,2018,809,576,1385,41.588447653429604
Johor,2019,835,599,1434,41.77126917712692
Johor,2020,867,526,1393,37.76022972002872
Johor,2021,879,505,1384,36.48843930635838
Johor,2022,867,536,1403,38.20384889522452
Kedah,2003,388,114,502,22.709163346613543
Kedah,2004,412,134,546,24.54212454212454
Kedah,2005,420,137,557,24.59605026929982
Kedah,2006,434,132,566,23.32155477031802
Kedah,2007,471,164,635,25.826771653543307
Kedah,2008,470,167,637,26.21664050235479
Kedah,2009,474,171,645,26.51162790697674
Kedah,2010,444,213,657,32.42009132420091
Kedah,2011,459,181,640,28.281250000000004
Kedah,2012,474,165,639,25.821596244131456
Kedah,2013,487,164,651,25.19201228878648
Kedah,2014,510,187,697,26.82926829268293
Kedah,2015,511,191,702,27.20797720797721
Kedah,2016,525,200,725,27.586206896551722
Kedah,2017,523,195,718,27.158774373259053
Kedah,2018,544,201,745,26.97986577181208
Kedah,2019,551,208,759,27.40447957839262
Kedah,2020,574,193,767,25.16297262059974
Kedah,2021,590,179,769,23.27698309492848
Kedah,2022,560,217,777,27.927927927927925
Kelantan,2003,94,35,129,27.131782945736433
Kelantan,2004,102,40,142,28.169014084507044
Kelantan,2005,111,46,157,29.29936305732484
Kelantan,2006,116,48,164,29.268292682926827
Kelantan,2007,120,49,169,28.994082840236686
Kelantan,2008,122,51,173,29.47976878612717
Kelantan,2009,124,53,177,29.943502824858758
Kelantan,2010,124,55,179,30.726256983240223
Kelantan,2011,123,56,179,31.28491620111732
Kelantan,2012,130,58,188,30.851063829787233
Kelantan,2013,140,62,202,30.693069306930692
Kelantan,2014,154,71,225,31.555555555555554
Kelantan,2015,159,73,232,31.46551724137931
Kelantan,2016,163,76,239,31.799163179916317
Kelantan,2017,162,79,241,32.780082987551864
Kelantan,2018,164,85,249,34.13654618473896
Kelantan,2019,163,85,248,34.274193548387096
Kelantan,2020,170,75,245,30.612244897959183
Kelantan,2021,171,68,239,28.451882845188287
Kelantan,2022,162,77,239,32.21757322175732
Melaka,2003,153,143,296,48.310810810810814
Melaka,2004,144,122,266,45.86466165413533
Melaka,2005,150,135,285,47.368421052631575
Melaka,2006,155,132,287,45.99303135888502
Melaka,2007,196,93,289,32.17993079584775
Melaka,2008,202,98,300,32.666666666666664
Melaka,2009,173,138,311,44.37299035369775
Melaka,2010,177,150,327,45.87155963302752
Melaka,2011,180,161,341,47.214076246334315
Melaka,2012,187,175,362,48.34254143646409
Melaka,2013,193,182,375,48.53333333333333
Melaka,2014,196,180,376,47.87234042553192
Melaka,2015,202,186,388,47.93814432989691
Melaka,2016,206,199,405,49.135802469135804
Melaka,2017,206,207,413,50.12106537530266
Melaka,2018,209,207,416,49.75961538461539
Melaka,2019,210,214,424,50.47169811320755
Melaka,2020,215,189,404,46.78217821782179
Melaka,2021,230,184,414,44.44444444444444
Melaka,2022,228,190,418,45.45454545454545
Negeri Sembilan,2003,184,122,306,39.869281045751634
Negeri Sembilan,2004,183,112,295,37.96610169491525
Negeri Sembilan,2005,181,121,302,40.06622516556291
Negeri Sembilan,2006,190,108,298,36.241610738255034
Negeri Sembilan,2007,231,87,318,27.358490566037734
Negeri Sembilan,2008,237,92,329,27.96352583586626
Negeri Sembilan,2009,213,122,335,36.417910447761194
Negeri Sembilan,2010,229,180,409,44.00977995110024
Negeri Sembilan,2011,239,172,411,41.84914841849148
Negeri Sembilan,2012,247,192,439,43.735763097949885
Negeri Sembilan,2013,255,213,468,45.51282051282051
Negeri Sembilan,2014,259,217,476,45.588235294117645
Negeri Sembilan,2015,276,217,493,44.01622718052739
Negeri Sembilan,2016,287,233,520,44.80769230769231
Negeri Sembilan,2017,288,231,519,44.50867052023121
Negeri Sembilan,2018,293,238,531,44.8210922787194
Negeri Sembilan,2019,294,244,538,45.353159851301115
Negeri Sembilan,2020,318,222,540,41.11111111111111
Negeri Sembilan,2021,327,222,549,40.43715846994536
Negeri Sembilan,2022,307,231,538,42.93680297397769
Pahang,2003,211,131,342,38.30409356725146
Pahang,2004,214,136,350,38.857142857142854
Pahang,2005,223,134,357,37.53501400560224
Pahang,2006,233,142,375,37.86666666666667
Pahang,2007,308,104,412,25.24271844660194
Pahang,2008,320,111,431,25.754060324825982
Pahang,2009,271,96,367,26.158038147138964
Pahang,2010,264,168,432,38.88888888888889
Pahang,2011,286,186,472,39.40677966101695
Pahang,2012,287,209,496,42.13709677419355
Pahang,2013,299,205,504,40.67460317460318
Pahang,2014,303,216,519,41.61849710982659
Pahang,2015,309,223,532,41.91729323308271
Pahang,2016,342,238,580,41.03448275862069
Pahang,2017,333,250,583,42.881646655231556
Pahang,2018,333,256,589,43.463497453310694
Pahang,2019,339,288,627,45.933014354066984
Pahang,2020,367,264,631,41.83835182250396
Pahang,2021,391,251,642,39.09657320872274
Pahang,2022,385,283,668,42.365269461077844
Perak,2003,450,150,600,25.0
Perak,2004,474,161,635,25.354330708661415
Perak,2005,487,175,662,26.435045317220546
Perak,2006,486,182,668,27.245508982035926
Perak,2007,496,185,681,27.165932452276063
Perak,2008,508,190,698,27.22063037249284
Perak,2009,526,194,720,26.944444444444443
Perak,2010,552,210,762,27.559055118110237
Perak,2011,556,216,772,27.979274611398964
Perak,2012,592,217,809,26.823238566131025
Perak,2013,607,228,835,27.305389221556887
Perak,2014,623,236,859,27.473806752037255
Perak,2015,628,250,878,28.473804100227788
Perak,2016,655,262,917,28.57142857142857
Perak,2017,648,260,908,28.634361233480178
Perak,2018,665,268,933,28.724544480171488
Perak,2019,679,278,957,29.049111807732498
Perak,2020,706,266,972,27.36625514403292
Perak,2021,703,266,969,27.450980392156865
Perak,2022,699,289,988,29.251012145748987
Perlis,2003,47,7,54,12.962962962962962
Perlis,2004,50,12,62,19.35483870967742
Perlis,2005,50,9,59,15.254237288135593
Perlis,2006,51,10,61,16.39344262295082
Perlis,2007,50,14,64,21.875
Perlis,2008,54,9,63,14.285714285714285
Perlis,2009,49,11,60,18.333333333333332
Perlis,2010,63,9,72,12.5
Perlis,2011,62,11,73,15.068493150684931
Perlis,2012,57,10,67,14.925373134328357
Perlis,2013,65,15,80,18.75
Perlis,2014,81,15,96,15.625
Perlis,2015,81,15,96,15.625
Perlis,2016,82,14,96,14.583333333333334
Perlis,2017,78,11,89,12.359550561797752
Perlis,2018,80,10,90,11.11111111111111
Perlis,2019,80,12,92,13.043478260869565
Perlis,2020,78,12,90,13.333333333333334
Perlis,2021,80,11,91,12.087912087912088
Perlis,2022,80,18,98,18.367346938775512
Pulau Pinang,2003,377,235,612,38.39869281045752
Pulau Pinang,2004,388,250,638,39.18495297805642
Pulau Pinang,2005,400,261,661,39.4856278366112
Pulau Pinang,2006,408,275,683,40.26354319180088
Pulau Pinang,2007,427,293,720,40.69444444444444
Pulau Pinang,2008,439,305,744,40.99462365591398
Pulau Pinang,2009,451,288,739,38.971583220568334
Pulau Pinang,2010,468,315,783,40.229885057471265
Pulau Pinang,2011,459,317,776,40.850515463917525
Pulau Pinang,2012,475,321,796,40.32663316582914
Pulau Pinang,2013,481,327,808,40.47029702970298
Pulau Pinang,2014,483,330,813,40.59040590405904
Pulau Pinang,2015,483,329,812,40.51724137931034
Pulau Pinang,2016,492,335,827,40.507859733978236
Pulau Pinang,2017,482,344,826,41.64648910411623
Pulau Pinang,2018,491,349,840,41.54761904761905
Pulau Pinang,2019,499,343,842,40.736342042755346
Pulau Pinang,2020,533,314,847,37.07201889020071
Pulau Pinang,2021,547,313,860,36.395348837209305
Pulau Pinang,2022,534,334,868,38.47926267281106
Sabah,2003,156,97,253,38.3399209486166
Sabah,2004,207,106,313,33.86581469648562
Sabah,2005,254,62,316,19.62025316455696
Sabah,2006,294,26,320,8.125
Sabah,2007,294,44,338,13.017751479289942
Sabah,2008,252,112,364,30.76923076923077
Sabah,2009,259,185,444,41.66666666666667
Sabah,2010,222,175,397,44.08060453400503
Sabah,2011,279,206,485,42.47422680412371
Sabah,2012,305,225,530,42.45283018867924
Sabah,2013,314,216,530,40.75471698113208
Sabah,2014,330,248,578,42.90657439446367
Sabah,2015,315,237,552,42.934782608695656
Sabah,2016,338,249,587,42.4190800681431
Sabah,2017,323,259,582,44.50171821305842
Sabah,2018,341,275,616,44.642857142857146
Sabah,2019,366,278,644,43.16770186335403
Sabah,2020,313,224,537,41.71322160148976
Sabah,2021,425,225,650,34.61538461538461
Sabah,2022,394,238,632,37.65822784810127
Sarawak,2003,289,201,490,41.0204081632653
Sarawak,2004,336,227,563,40.319715808170514
Sarawak,2005,327,220,547,40.21937842778793
Sarawak,2006,352,226,578,39.10034602076124
Sarawak,2007,400,259,659,39.30197268588771
Sarawak,2008,409,266,675,39.407407407407405
Sarawak,2009,441,274,715,38.32167832167832
Sarawak,2010,449,324,773,41.91461836998706
Sarawak,2011,431,321,752,42.68617021276596
Sarawak,2012,432,336,768,43.75
Sarawak,2013,446,345,791,43.61567635903919
Sarawak,2014,469,341,810,42.098765432098766
Sarawak,2015,478,368,846,43.498817966903076
Sarawak,2016,463,385,848,45.40094339622642
Sarawak,2017,476,395,871,45.35017221584386
Sarawak,2018,487,409,896,45.64732142857143
Sarawak,2019,499,468,967,48.3971044467425
Sarawak,2020,548,448,996,44.97991967871486
Sarawak,2021,579,440,1019,43.179587831207066
Sarawak,2022,602,463,1065,43.47417840375587
Selangor,2003,1312,673,1985,33.904282115869016
Selangor,2004,1474,694,2168,32.011070110701105
Selangor,2005,1579,717,2296,31.22822299651568
Selangor,2006,1460,932,2392,38.96321070234114
Selangor,2007,1520,969,2489,38.93129770992366
Selangor,2008,1562,1006,2568,39.17445482866044
Selangor,2009,1621,1029,2650,38.83018867924528
Selangor,2010,1655,1090,2745,39.708561020036434
Selangor,2011,1653,1135,2788,40.71018651362984
Selangor,2012,1686,1207,2893,41.72139647424819
Selangor,2013,1735,1254,2989,41.95383071261291
Selangor,2014,1779,1268,3047,41.614702986544145
Selangor,2015,1862,1316,3178,41.409691629955944
Selangor,2016,1883,1336,3219,41.503572538055295
Selangor,2017,1870,1373,3243,42.33734196731421
Selangor,2018,1916,1400,3316,42.21954161640531
Selangor,2019,2012,1459,3471,42.033995966580235
Selangor,2020,2186,1362,3548,38.38782412626832
Selangor,2021,2294,1315,3609,36.43668606262123
Selangor,2022,2230,1350,3580,37.709497206703915
Terengganu,2003,156,118,274,43.06569343065693
Terengganu,2004,162,108,270,40.0
Terengganu,2005,172,105,277,37.90613718411552
Terengganu,2006,185,124,309,40.1294498381877
Terengganu,2007,187,135,322,41.92546583850932
Terengganu,2008,190,149,339,43.95280235988201
Terengganu,2009,198,155,353,43.90934844192634
Terengganu,2010,206,157,363,43.25068870523416
Terengganu,2011,208,163,371,43.93530997304582
Terengganu,2012,216,173,389,44.473007712082264
Terengganu,2013,230,183,413,44.30992736077482
Terengganu,2014,241,179,420,42.61904761904762
Terengganu,2015,246,182,428,42.523364485981304
Terengganu,2016,264,176,440,40.0
Terengganu,2017,256,171,427,40.04683840749414
Terengganu,2018,255,169,424,39.85849056603774
Terengganu,2019,266,176,442,39.81900452488688
Terengganu,2020,286,165,451,36.58536585365854
Terengganu,2021,302,161,463,34.77321814254859
Terengganu,2022,286,173,459,37.690631808278866
W.P. Labuan,2003,16,9,25,36.0
W.P. Labuan,2004,16,10,26,38.46153846153847
W.P. Labuan,2005,18,10,28,35.714285714285715
W.P. Labuan,2006,17,10,27,37.03703703703704
W.P. Labuan,2007,18,11,29,37.93103448275862
W.P. Labuan,2008,19,12,31,38.70967741935484
W.P. Labuan,2009,18,18,36,50.0
W.P. Labuan,2010,19,18,37,48.64864864864865
W.P. Labuan,2011,21,20,41,48.78048780487805
W.P. Labuan,2012,16,30,46,65.21739130434783
W.P. Labuan,2013,16,31,47,65.95744680851064
W.P. Labuan,2014,17,31,48,64.58333333333334
W.P. Labuan,2015,17,32,49,65.3061224489796
W.P. Labuan,2016,17,33,50,66.0
W.P. Labuan,2017,17,31,48,64.58333333333334
W.P. Labuan,2018,18,33,51,64.70588235294117
W.P. Labuan,2019,18,36,54,66.66666666666666
W.P. Labuan,2020,17,40,57,70.17543859649122
W.P. Labuan,2021,20,32,52,61.53846153846154
W.P. Labuan,2022,19,33,52,63.46153846153846
