state,sector,date,value
Malaysia,domestic,2003-01-01,4394
Malaysia,domestic,2004-01-01,4770
Malaysia,domestic,2005-01-01,4992
Malaysia,domestic,2006-01-01,5025
Malaysia,domestic,2007-01-01,5381
Malaysia,domestic,2008-01-01,5466
Malaysia,domestic,2009-01-01,5531
Malaysia,domestic,2010-01-01,5602
Malaysia,domestic,2011-01-01,5695
Malaysia,domestic,2012-01-01,5873
Malaysia,domestic,2013-01-01,6064
Malaysia,domestic,2014-01-01,6267
Malaysia,domestic,2015-01-01,6378
Malaysia,domestic,2016-01-01,6490
Malaysia,domestic,2017-01-01,6447
Malaysia,domestic,2018-01-01,6605
Malaysia,domestic,2019-01-01,6811
Malaysia,domestic,2020-01-01,7179
Malaysia,domestic,2021-01-01,7540
Malaysia,domestic,2022-01-01,7353
Malaysia,nondomestic,2003-01-01,2281
Malaysia,nondomestic,2004-01-01,2339
Malaysia,nondomestic,2005-01-01,2366
Malaysia,nondomestic,2006-01-01,2606
Malaysia,nondomestic,2007-01-01,2696
Malaysia,nondomestic,2008-01-01,2868
Malaysia,nondomestic,2009-01-01,3020
Malaysia,nondomestic,2010-01-01,3370
Malaysia,nondomestic,2011-01-01,3469
Malaysia,nondomestic,2012-01-01,3659
Malaysia,nondomestic,2013-01-01,3790
Malaysia,nondomestic,2014-01-01,3909
Malaysia,nondomestic,2015-01-01,4067
Malaysia,nondomestic,2016-01-01,4249
Malaysia,nondomestic,2017-01-01,4341
Malaysia,nondomestic,2018-01-01,4476
Malaysia,nondomestic,2019-01-01,4688
Malaysia,nondomestic,2020-01-01,4298
Malaysia,nondomestic,2021-01-01,4173
Malaysia,nondomestic,2022-01-01,4433
Johor,domestic,2003-01-01,560
Johor,domestic,2004-01-01,610
Johor,domestic,2005-01-01,621
Johor,domestic,2006-01-01,644
Johor,domestic,2007-01-01,664
Johor,domestic,2008-01-01,682
Johor,domestic,2009-01-01,713
Johor,domestic,2010-01-01,730
Johor,domestic,2011-01-01,738
Johor,domestic,2012-01-01,769
Johor,domestic,2013-01-01,797
Johor,domestic,2014-01-01,823
Johor,domestic,2015-01-01,811
Johor,domestic,2016-01-01,773
Johor,domestic,2017-01-01,785
Johor,domestic,2018-01-01,809
Johor,domestic,2019-01-01,835
Johor,domestic,2020-01-01,867
Johor,domestic,2021-01-01,879
Johor,domestic,2022-01-01,867
Johor,nondomestic,2003-01-01,246
Johor,nondomestic,2004-01-01,225
Johor,nondomestic,2005-01-01,235
Johor,nondomestic,2006-01-01,255
Johor,nondomestic,2007-01-01,289
Johor,nondomestic,2008-01-01,300
Johor,nondomestic,2009-01-01,285
Johor,nondomestic,2010-01-01,306
Johor,nondomestic,2011-01-01,323
Johor,nondomestic,2012-01-01,341
Johor,nondomestic,2013-01-01,366
Johor,nondomestic,2014-01-01,391
Johor,nondomestic,2015-01-01,448
Johor,nondomestic,2016-01-01,513
Johor,nondomestic,2017-01-01,535
Johor,nondomestic,2018-01-01,576
Johor,nondomestic,2019-01-01,599
Johor,nondomestic,2020-01-01,526
Johor,nondomestic,2021-01-01,505
Johor,nondomestic,2022-01-01,536
Kedah,domestic,2003-01-01,388
Kedah,domestic,2004-01-01,412
Kedah,domestic,2005-01-01,420
Kedah,domestic,2006-01-01,434
Kedah,domestic,2007-01-01,471
Kedah,domestic,2008-01-01,470
Kedah,domestic,2009-01-01,474
Kedah,domestic,2010-01-01,444
Kedah,domestic,2011-01-01,459
Kedah,domestic,2012-01-01,474
Kedah,domestic,2013-01-01,487
Kedah,domestic,2014-01-01,510
Kedah,domestic,2015-01-01,511
Kedah,domestic,2016-01-01,525
Kedah,domestic,2017-01-01,523
Kedah,domestic,2018-01-01,544
Kedah,domestic,2019-01-01,551
Kedah,domestic,2020-01-01,574
Kedah,domestic,2021-01-01,590
Kedah,domestic,2022-01-01,560
Kedah,nondomestic,2003-01-01,114
Kedah,nondomestic,2004-01-01,134
Kedah,nondomestic,2005-01-01,137
Kedah,nondomestic,2006-01-01,132
Kedah,nondomestic,2007-01-01,164
Kedah,nondomestic,2008-01-01,167
Kedah,nondomestic,2009-01-01,171
Kedah,nondomestic,2010-01-01,213
Kedah,nondomestic,2011-01-01,181
Kedah,nondomestic,2012-01-01,165
Kedah,nondomestic,2013-01-01,164
Kedah,nondomestic,2014-01-01,187
Kedah,nondomestic,2015-01-01,191
Kedah,nondomestic,2016-01-01,200
Kedah,nondomestic,2017-01-01,195
Kedah,nondomestic,2018-01-01,201
Kedah,nondomestic,2019-01-01,208
Kedah,nondomestic,2020-01-01,193
Kedah,nondomestic,2021-01-01,179
Kedah,nondomestic,2022-01-01,217
Kelantan,domestic,2003-01-01,94
Kelantan,domestic,2004-01-01,102
Kelantan,domestic,2005-01-01,111
Kelantan,domestic,2006-01-01,116
Kelantan,domestic,2007-01-01,120
Kelantan,domestic,2008-01-01,122
Kelantan,domestic,2009-01-01,124
Kelantan,domestic,2010-01-01,124
Kelantan,domestic,2011-01-01,123
Kelantan,domestic,2012-01-01,130
Kelantan,domestic,2013-01-01,140
Kelantan,domestic,2014-01-01,154
Kelantan,domestic,2015-01-01,159
Kelantan,domestic,2016-01-01,163
Kelantan,domestic,2017-01-01,162
Kelantan,domestic,2018-01-01,164
Kelantan,domestic,2019-01-01,163
Kelantan,domestic,2020-01-01,170
Kelantan,domestic,2021-01-01,171
Kelantan,domestic,2022-01-01,162
Kelantan,nondomestic,2003-01-01,35
Kelantan,nondomestic,2004-01-01,40
Kelantan,nondomestic,2005-01-01,46
Kelantan,nondomestic,2006-01-01,48
Kelantan,nondomestic,2007-01-01,49
Kelantan,nondomestic,2008-01-01,51
Kelantan,nondomestic,2009-01-01,53
Kelantan,nondomestic,2010-01-01,55
Kelantan,nondomestic,2011-01-01,56
Kelantan,nondomestic,2012-01-01,58
Kelantan,nondomestic,2013-01-01,62
Kelantan,nondomestic,2014-01-01,71
Kelantan,nondomestic,2015-01-01,73
Kelantan,nondomestic,2016-01-01,76
Kelantan,nondomestic,2017-01-01,79
Kelantan,nondomestic,2018-01-01,85
Kelantan,nondomestic,2019-01-01,85
Kelantan,nondomestic,2020-01-01,75
Kelantan,nondomestic,2021-01-01,68
Kelantan,nondomestic,2022-01-01,77
Melaka,domestic,2003-01-01,153
Melaka,domestic,2004-01-01,144
Melaka,domestic,2005-01-01,150
Melaka,domestic,2006-01-01,155
Melaka,domestic,2007-01-01,196
Melaka,domestic,2008-01-01,202
Melaka,domestic,2009-01-01,173
Melaka,domestic,2010-01-01,177
Melaka,domestic,2011-01-01,180
Melaka,domestic,2012-01-01,187
Melaka,domestic,2013-01-01,193
Melaka,domestic,2014-01-01,196
Melaka,domestic,2015-01-01,202
Melaka,domestic,2016-01-01,206
Melaka,domestic,2017-01-01,206
Melaka,domestic,2018-01-01,209
Melaka,domestic,2019-01-01,210
Melaka,domestic,2020-01-01,215
Melaka,domestic,2021-01-01,230
Melaka,domestic,2022-01-01,228
Melaka,nondomestic,2003-01-01,143
Melaka,nondomestic,2004-01-01,122
Melaka,nondomestic,2005-01-01,135
Melaka,nondomestic,2006-01-01,132
Melaka,nondomestic,2007-01-01,93
Melaka,nondomestic,2008-01-01,98
Melaka,nondomestic,2009-01-01,138
Melaka,nondomestic,2010-01-01,150
Melaka,nondomestic,2011-01-01,161
